Name,IF,IFDenseRank,IFMinRank
player,52469.5352743561,1.0,1.0
game,48512.8836577637,2.0,2.0
network,46225.74860022396,3.0,3.0
server,44815.708012675415,4.0,4.0
client,43495.154368492535,5.0,5.0
architectur,42209.440470801266,6.0,6.0
make,41735.46542553192,7.0,7.0
author,40731.077410593025,8.0,8.0
respons,39822.60358342665,9.0,9.0
proxi,39219.522861023084,10.0,10.0
distribut,38111.83340878225,11.0,11.0
updat,37871.76861702128,12.0,12.0
state,37700.30149388864,13.0,13.0
move,37278.43337066069,14.0,14.0
decis,36719.27234042554,15.0,15.0
authorit,36612.34938409855,16.0,16.0
play,36584.415957446814,17.0,17.0
movement,36099.6954087346,18.0,18.0
object,36044.8189225894,19.0,19.0
multiplay,35915.938969764844,20.0,20.0
propos,35732.15119963785,21.0,21.0
commun,35313.761883205065,22.0,22.0
action,35006.438297872344,23.0,23.0
central,34538.24020156774,24.0,24.0
process,34342.836506159016,25.0,25.0
latenc,34108.7931190584,26.0,26.0
consist,33278.27614305115,27.0,27.0
experi,33032.98723404256,28.0,28.0
interact,33030.210465784934,29.0,29.0
maintain,32606.071276595747,30.0,30.0
valid,32424.302911534152,31.0,31.0
system,32281.659574468085,32.0,32.0
mmog,32067.11170212766,33.0,33.0
inform,31436.33997283839,34.0,34.0
time,31309.02967525196,35.0,35.0
delay,31241.26763717805,36.0,36.0
region,31199.726279470968,37.0,37.0
rpgquest,31177.659574468085,38.0,38.0
space,31058.526935264825,39.0,39.0
addit,30690.898656215002,40.0,40.0
messag,30632.573908174694,41.0,41.0
send,30274.222222222223,42.0,42.0
workshop,29984.386338185886,43.0,43.0
support,29880.322508398658,44.0,44.0
posit,29422.395136778116,45.0,45.0
implement,29396.891806247175,46.0,46.0
base,29229.618701007832,47.0,47.0
assign,28976.967406066087,48.0,48.0
hit,28931.6640537514,49.0,49.0
version,28398.662006079023,50.0,50.0
connect,28278.139417693164,51.0,51.0
mechan,28205.92074468085,52.0,52.0
model,28143.065602836872,53.0,53.0
netgam,28071.248600223964,54.0,54.0
improv,27884.416573348262,55.0,55.0
scalabl,27861.88129899216,56.0,56.0
larg,27766.91489361702,57.0,57.0
requir,27616.02535083748,58.0,58.0
event,27610.278723404255,59.0,59.0
peertop,27591.268756998878,60.0,60.0
problem,27447.975363941765,61.0,61.0
work,27122.93209597102,62.0,62.0
case,26803.670212765956,63.0,63.0
show,26634.429669030735,64.0,64.0
detect,26394.22589406971,65.0,65.0
inconsist,26210.627337201804,66.0,66.0
allevi,26103.215005599104,67.0,67.0
cheat,26025.767315527384,68.0,68.0
perform,25990.439112720684,69.0,69.0
made,25984.188129899216,70.0,70.0
current,25617.963894261768,71.0,71.0
deleg,25527.269503546097,72.0,72.0
note,25358.91565349544,73.0,73.0
pick,25248.442295293356,74.0,74.0
locat,25247.930367504836,75.0,75.0
chang,25210.8136686009,76.0,76.0
onlin,24981.66181410974,77.0,77.0
collis,24800.127659574464,78.0,78.0
