,Words,Old_WScore,Position_Weight,SCScore
4,game,24937.3525390625,1.287479484054514,32106.329780677715
1,resourc,27166.7265625,0.26261113326047947,7134.284849555695
57,loaddepend,12233.286290322581,0.5751830058827424,7036.378380291885
0,congest,27234.455078125,0.24273415333368406,6610.732394892924
12,failur,21499.353515625,0.19266701771537073,4142.21632466394
3,agent,24948.6884765625,0.14070046017224075,3510.2919493462236
14,cglf,20573.51310483871,0.14704098493766815,3025.149630563507
2,strategi,27090.80859375,0.07296217498544653,1976.6043171144263
9,cost,22293.5625,0.08604738945304669,1918.3028547333372
8,function,22503.683467741932,0.07566601829822957,1702.7641250477272
16,set,19701.46484375,0.0825370508582506,1626.10080579063
26,defin,16343.254032258064,0.08296617252585678,1355.937233674227
33,gener,15452.578125,0.08282303549434257,1279.8294265259765
29,task,16103.69921875,0.07916502095903373,1274.8496861703188
18,probabl,18167.60483870968,0.06539262573093686,1188.0273836452998
45,class,13332.544354838708,0.08352220556403997,1113.5635102965193
5,pure,22806.9296875,0.04632723242955992,1056.5819326374428
31,util,15845.93359375,0.06664970654635387,1056.1268239764481
13,potenti,20916.127016129034,0.0468146518202935,979.1812036891151
11,show,21504.52016129032,0.042335411643391385,910.4027132218349
24,model,16601.3046875,0.05435692374564587,902.3958529766709
10,exist,21687.74193548387,0.04057477321839902,879.9752106514204
7,nash,22521.734375,0.038553619853332353,868.2943855314777
20,number,17358.25,0.041514829716154354,720.6247929204363
6,profil,22544.911290322583,0.031107946733179695,701.3258995236164
22,nondecreas,16713.399193548386,0.03232789664293504,540.3090416811461
32,subset,15845.375,0.032685105585512825,517.9077549170453
17,addit,19128.13508064516,0.026771308956002462,512.0852139961006
15,equilibrium,20410.66015625,0.024698384365024865,504.110329682961
38,sum,14458.056640625,0.03141523568818714,454.2032569583936
158,incorpor,7895.9000000000015,0.05586594790270135,441.1119380449397
23,result,16614.123991935485,0.02544390055047219,422.72811858402054
42,benefit,13661.328125,0.030651902233899853,418.7456940727264
60,success,12008.59375,0.034300269713355466,411.89800450311475
55,choos,12384.722222222224,0.030980327543813895,383.6827509835952
27,prove,16335.609879032258,0.021961715913587584,358.75802343850125
19,equilibria,17667.036290322583,0.019315682781057813,341.2508686653074
73,differ,11219.277777777776,0.029582577705477505,331.89515666044804
30,possess,16019.449596774197,0.020211171333886828,323.7718404749676
35,complet,15075.9287109375,0.02053736792198569,309.6198947021509
98,execut,10112.681818181818,0.02978704700104211,301.22692862476583
28,theorem,16211.588709677419,0.018321757078655836,297.0247901977893
185,issu,7267.0,0.04010692107411125,291.45699544556646
21,finit,16897.782258064515,0.016048684506777676,271.1871763239027
41,admit,13865.189516129034,0.019468862512480357,269.9394683990002
79,studi,11048.002083333333,0.022090194254839903,244.05251214870927
154,common,8028.967329545455,0.029917070415836876,240.20318096446513
86,select,10719.032258064517,0.02174405756859863,233.07525449902064
25,case,16580.51171875,0.01374731377806315,227.9374971985094
69,ident,11590.539314516129,0.01962446410023825,227.45812268012182
53,assign,12455.46875,0.017463728446692795,217.51892392626814
62,describ,11839.036637931034,0.015361885781133547,181.86992859055186
36,depend,14738.42943548387,0.012234228224986392,180.313309391567
102,situat,10017.530048076924,0.017868170849783524,178.99493839187863
34,dsstabl,15135.015,0.011120196864146621,168.30434634181208
68,main,11613.765120967742,0.013787107893322426,160.12023277048704
221,order,6157.07472826087,0.02245168387629072,138.23669540161166
96,decreas,10249.40625,0.012509246696945127,128.21235127846123
72,comput,11376.113636363636,0.011061657386716469,125.83867143780776
77,nonneg,11116.211458333333,0.011284569442682645,125.44166014110702
201,multiag,6854.798387096775,0.016254277441431954,111.41979478895125
213,featur,6452.687499999999,0.01639344262295082,105.78176229508196
37,profit,14581.293750000004,0.0069298633262523165,101.04637280743714
47,ui,13156.738636363638,0.007520166793368766,98.94086900221369
75,increas,11181.184895833332,0.008790483501997822,98.28802135961014
85,xj,10738.514802631578,0.009107740148083307,97.80360239871452
51,denot,12522.005681818182,0.007762102862949528,97.19709615271117
50,present,12603.904166666665,0.007252410136210228,91.40868233415566
48,simpl,13112.9541015625,0.0069689255239932515,91.3832005333309
306,artifici,5088.229838709678,0.01778093883357041,90.47350353324462
309,intellig,5088.229838709678,0.017624223602484473,89.67610041825287
78,constant,11111.659482758621,0.007935366194989659,88.17508702971905
177,motiv,7430.754261363636,0.0118125,87.77578471235795
40,obtain,14146.368055555557,0.006108842808330232,86.4179387601731
229,courier,5965.3125,0.014253902482212324,85.0289826509222
49,properti,12832.764112903225,0.006580975413788159,84.45210511795915
195,network,6954.423387096774,0.010774311926605506,74.92912684226103
109,experienc,9627.08125,0.007730575677925322,74.4228801606609
80,nearlyeven,11036.46375,0.006688163217592231,73.81367090504003
56,assum,12373.3575,0.005951967887970858,73.64582650638337
76,chosen,11155.15625,0.006598946591519533,73.61228031380531
43,lemma,13529.184782608696,0.005396691482768946,73.01283628511158
64,user,11703.282327586208,0.0059194166389322685,69.27660414003577
110,section,9617.4375,0.007098785245357474,68.27212342314768
95,monder,10255.32091346154,0.006559068948828385,67.26535696375595
39,impli,14224.888392857141,0.004542536259806427,64.61707131625313
208,econom,6634.814516129032,0.00951819603451934,63.15146521719071
217,delay,6308.6953125,0.009726962231181083,61.36444103271664
176,effect,7483.276562500001,0.00819672131147541,61.33833247950821
61,payoff,11871.837962962962,0.00498911297406608,59.22994080702873
113,guarante,9536.039583333333,0.0059990301686133046,57.206989149507315
145,advanc,8352.396381578947,0.006780921223837317,56.63694189375069
189,element,7167.764423076924,0.0077264239028944914,55.38118636877829
89,introduc,10437.02403846154,0.00526034425876428,54.902339479305944
198,pscongest,6911.090277777777,0.007943411386599392,54.89763320631636
129,extend,8833.6171875,0.006212210363369219,54.87628823822396
421,purestrategi,3561.125,0.015301839492030818,54.491763161058245
105,consid,9662.73828125,0.005627060132844958,54.372809356536685
74,paper,11195.262096774191,0.0048565400384350125,54.37023861375777
161,natur,7798.576923076923,0.006944444444444444,54.15678418803418
58,equal,12125.367187499998,0.004463389936815414,54.12024188487931
155,fix,7973.690476190475,0.006716356071542276,53.55414444236072
44,proof,13366.896739130434,0.0039155072886960934,52.33818160931326
59,nonexist,12041.521551724141,0.004342778499372269,52.2936608945554
116,cgf,9310.619791666666,0.005596516834994986,52.1070404083
200,system,6854.798387096775,0.007575757575757576,51.930290811339205
117,path,9271.2890625,0.0055504044404625094,51.459403981311496
126,context,9014.318181818182,0.005597203291433187,50.45497139729875
71,expect,11427.722222222219,0.004376952262910197,50.018594640464684
157,structur,7930.8388157894715,0.006241427802566016,49.49975788253815
87,arg,10629.59722222222,0.004655068706222439,49.48150538891563
46,contradict,13294.159375,0.003715645400758528,49.396382138669615
88,notion,10480.44375,0.004596270300071885,48.170952339699014
310,subject,5088.229838709678,0.009433962264150943,48.00216828971394
171,playerspecif,7569.680555555556,0.006293050353069186,47.636380892759846
146,special,8237.625,0.005755956792146227,47.41541356990356
228,unreli,5967.330357142857,0.007916253272290424,47.23889846657013
431,deliv,3311.463068181818,0.014235797553479942,47.14131784446191
308,computercommun,5088.229838709678,0.009259259259259259,47.11323924731183
150,reason,8116.473958333332,0.005714285714285714,46.37985119047618
209,time,6615.88888888889,0.006995144978048452,46.27910193643767
100,ei,10044.062500000002,0.004521312575142673,45.412346086768956
66,amov,11669.75,0.0038832652551506956,45.31673471129483
307,distribut,5088.229838709678,0.008849557522123894,45.02858264344848
94,work,10284.78515625,0.0043165164270886364,44.394444076030496
67,fact,11661.434375,0.003666860567927839,42.76085387516573
124,close,9034.98046875,0.004731118200955742,42.745560540982765
